edad,nombre,nacionalidad
54,tomas martínez ,  br   
45,"   Rodríguez,   Rodrigo ",  uruguayo
36,"Nicastro, Jonás      ",brasil
62,   matias    gonzález      ,Uruguay
18,   alexis nicastro  , Uruguayo
50,"Orondo,   Alonso ",  chi   
58,Prof.  Lucas Fernández  , uruguay
39,   Carlos   Sánchez ,brasil
43,   Martín Gonzalez   ,uy
31,Pablo   Soto , argentno
50,"   nicastro,    pablo ",  uy   
50,prof. javier gómez ,brazil
44," viey,  rodolfo  ",  chileno
22,renato contreras    ,  uy   
56,bastian fanon    ,  --
52,"Silva, Alonso  ", chilena
24,"   aguirre,  martin    ", brasileño
62,tomas  alzate    ,--
23,rodrigo gonzález   , Uruguayo
26,tomas   aguirre ,ar
61,"   Amenabar,   Bastian   ",brasil
64,   gabriel lópez   ,brazil
24,abel   rodríguez   ,brasil
45," lópez,    francisco     ", Brasil
42,ABEL ROJAS   ,Uruguay
57," González, Ignacio       ",brasil
21,"pérez, alexander   ", brasileño
43,"   ing. licastro, jorge ",Uruguay
22,bruno fertuchelli ,brazil
63, THOMAS   RODRÍGUEZ , chileno
46,"fertuchelli, matias ",--
45,"  lic. fernández,    damian ",brasil
42,gabriel  mango ,Chileno
27,"  Señor  Castro, Damian   ",  chi   
33,sebastian    martín , argentno
57,JOSE MARTÍNEZ ,uy
36,Carlos    Rivadavia , argentina
23,Franco    Aguirre    ,  uy   
21,"   nicastro,   andrés       ",  chi   
23,"martínez, damian ", chilena
58,Jorge  Fanon ,Uruguay
50,"Sánchez,    Camilo    ", argentno
40,abel matas ,ch
60,   SANTIAGO GÓMEZ   ,brazil
47,David  Gómez ,  --
35,"sr.   licastro, eric   ",brazil
55,victor    gonzález ,  chi   
44,"Martín, Lucas   ",  arg
39,"Martínez, Franco ",  brasilero
55, ESTEBAN ANTONELLO      ,otros
39,"Mactas, Martín ", chilena
51," fanon,  eric ",uy
32,   ing victor  sanchez    ,uy
40,"gonzález, bruno ",otros
40," LÓPEZ, LUCAS  ",uy
38,ingeniero pablo sepúlveda ,brasil
25,"gonzález,  sebastian      ",ch
27,"Sepúlveda,   Renato   ",  Otros 
33,renato    gómez      ,  br   
35,"  prof. casullo, bruno ",  brasilero
60,javier silva   , argentina
48,victor rodríguez    , uruguay
63,ing.  emilio lupo   ,ar
27,  Señor Esteban Perez      ,  chileno
33,"señor castañeda,   joaquin ",  uy   
25,"GONZÁLEZ, CRISTOBAL  ",brasil
60, David  Perez       , Uruguayo
39,doctor david nicastro ,  uruguayo
63,   esteban rodríguez     ,  Otros 
58,"contreras, luciano ", chileno
65,"   Gonzalez,  Diego   ",  Otros 
34, luciano   alzate   ,  uruguayo
26,"   Centenera, Abel  ",  chileno
32,"licenciado  gonzález,    abel    ",ar
35,"  RIGLOS,  ESTEBAN ", uruguay
33,Camilo Fernández ,brazil
38,"FLORES, ANGEL  ",  chi   
41,"Fanon, Alexis ",  br   
35,"rojas, camilo  ", argentina
53," martínez,    joaquin   ",otros
26,"  ORONDO, JORGE   ",uy
38,"RAMIREZ, RODRIGO ", argentno
45,"   GUTIERREZ, BENJAMIN  ", chileno
49," Lic.    Soto, Maximiliano ",Chileno
52,"Fabricci, Leandro  ",argentino
61,   jorge contreras ,  uy   
35," gonzález,    joaquin   ", otros
22,  carlos   centenera    ,  chileno
33,lic julián   montoya   ,  uruguayo
32,"castañeda, luis    ",ar
56,"garcía,    renato     ", chilena
59,"   Montoya,  Leandro ",brasil
56,joaquin aguirre    , chileno
57,pablo gonzález     ,brazil
53,  benjamin sacado , Brasil
18,"sánchez,    juan ",  argentino   
40,"FABRICCI,    CRISTIAN  ",uy
31,"gómez, pablo   ", argentno
56,Rodrigo   Sacado   , chilena
31,"Sánchez, Agustin ", uruguay
33, PROF. FEDERICO SILVA   ,  chileno
41,GUSTAVO AMENABAR , chileno
26, abel  castro  , uruguay
58,"  martínez,   emilio    ",brazil
21,"Fabricci, Abel ", chilena
56," gonzalez, cristobal ",  brasilero
53,"SEPÚLVEDA,    MATIAS  ", brasileño
46,"licastro, juan    ", brasileño
46,"  Gutierrez,  Néstor  ",ar
21,jorge sánchez  ,Chileno
29,"lupo,   bastian   ",Uruguay
41,"  Sr. Nicastro, Alonso ",brasil
57,"orondo, lucas ",--
46," fernández, diego  ", uruguay
25,  Ignacio  Sacado ,Uruguay
23,"  fertuchelli, rodolfo ", otros
53," FLORES,   ALEXIS    ",  br   
40,JOSE ARISTIZABAL      , brasileño
57,   cristobal rojas      ,Uruguay
48," Lic. López,  Cristobal       ",ar
35,"Ing Matas, Daniel ",Uruguay
33,   Renato  Rodríguez ,Chileno
19,"rivadavia, carlos   ", argentina
48,  FIDEL MONTOYA  ,Uruguay
49,"Guevara,   Andrés ", uruguay
62,néstor    hernández    , chileno
54,   nicolas gutierrez   , argentina
54,LIC.  CRISTOBAL   LICASTRO ,  chileno
40," gonzalez, gabriel  ",  Otros 
39,"  Silva, Leandro ",  Otros 
36,Lic.  pablo sepúlveda ,  uy   
34, JONÁS ORONDO   , otros
33,"castro, juan   ", argentno
37,"pérez,    maximo  ",brasil
42,damian  antonello      , otros
19,"Orondo, Cristian ",  chi   
60,Maximo Martín   , argentno
50,   Lic.   Renato Alsina  , Uruguayo
52,"Dr. Riglos, Maximiliano ", argentina
22,"pérez,  bastian ",Uruguay
26,"   Sánchez,    Néstor ",  arg
39,"rodríguez,    cristian    ", uruguay
56,"Centenera,  Fernando   ",ch
44," GARCÍA, LUCIANO   ", argentno
22,"Gómez, Tomas ",Uruguay
56,Santiago Perez ,  brasilero
48,"sanchez, jose ",brasil
49,"lic    rojas, francisco ",argentino
34,"casullo, juan    ",ar
51,   Señor Victor   Flores      ,  Otros 
50,renato alsina , argentina
64,"Soto, Federico  ",uy
31,Maximiliano Silva      ,ar
46," sepúlveda,  leandro  ",brazil
64," mactas, sebastian   ",  uy   
50,"CASULLO,    LEANDRO   ",  uruguayo
35,lic   david sacado    ,  Otros 
21,"  Martínez,    Abel    ",  uruguayo
50," díaz, néstor   ",--
51,"  rojas, david ",ch
61,Lic.   Ernesto Pérez , argentno
57,   jorge fanon  ,Chileno
24,ernesto  castañeda  , brasileño
35,"  Gómez, Camilo ",uy
64,"Lic.  Fernández, Amaro      ",  arg
29," MANGO, FERNANDO      ",argentino
55,   RODOLFO LUPO  ,ar
61,Lic. pablo fernández ,brazil
63," García,    Fidel    ",ar
36,"Guevara, Juan  ",--
44," aristizabal, jose ", brasileño
50,Doctor   Rodolfo Gutierrez ,  br   
24,  Dr. Martin Martínez   ,ar
32,"ARISTIZABAL, PABLO ",ar
52,"   ramirez, rodolfo    ",ch
36,"castañeda,  benjamin   ",  uy   
28,"Castañeda, Vicente  ", uruguay
26,julian casullo   ,  chi   
20,"   rodríguez,   matias ", argentina
18,"MARTÍNEZ,    GABRIEL ", argentno
56,rodrigo   guevara  ,uy
59,Benjamin  González , argentno
65,  vicente pérez    ,Chileno
43,"viey, ernesto  ",  --
53,"  FLORES, SANTIAGO    ",ch
49," contreras, jorge ",Chileno
60,lic. javier  contreras  ,brazil
49,"Rodríguez, Sebastian ",  argentino   
60, Julián Fanon  ,  uruguayo
28,   gaspar pérez    , Brasil
26,"  gutierrez, emilio  ", Uruguayo
32,"Aguirre, Carlos   ",--
63,"  Gómez, Pablo    ",  --
43,   andrés    gómez    ,  chileno
26,   JORGE    SACADO  ,  uruguayo
25,sr.  jorge gómez    ,uy
40,luis    sanchez ,  brasilero
54,"antonello,   juan    ", argentina
60,"castañeda, cristian    ",argentino
34,carlos gonzález ,ar
19,sr. lucas gutierrez      ,  chileno
30,"garcía, maximo   ",  argentino   
31,"   gonzález, lucas  ", otros
22,"   pérez, cristian ",ch
57,"lópez,  pablo   ", argentno
53,   victor    lópez  ,  uy   
55,"Sacado, Cristobal  ",  argentino   
21,   emilio garcía      ,  uruguayo
56,"   gonzalez, jorge     ",Uruguay
46,"Mactas,    Pablo  ",Chileno
52,cristian sánchez ,brazil
21,  maximiliano  sanchez   ,  chi   
59,"señor  mactas,  abel    ", uruguay
52,  lic  fernando  ramirez ,  arg
46,"ramirez, felipe ",  chileno
22, Maximiliano    Lupo  , Brasil
20, MAXIMILIANO GONZÁLEZ ,ar
34,Dr.    daniel   fernández  ,  br   
59,"  ing mactas, néstor ", argentno
54,  jorge    castañeda , argentno
44,"ing londoño, victor   ",argentino
40,tomas lupo ,  chi   
27,"FLORES, GABRIEL ",  uruguayo
49,"pérez,   alonso ",  chileno
37,ING  GABRIEL   LONDOÑO , Brasil
19,"  DR. ANTONELLO, DANIEL ",--
35,pablo   matas    ,argentino
58,rodolfo lópez ,ar
62,"licenciado castro,  amaro ",  chi   
56,  Tomas   Centenera ,  arg
49,"   Alzate, Matias ",  chi   
31,"muñoz,   javier    ",--
40, LIC.   ABEL CENTENERA   ,  arg
44,  sebastian    lópez ,  arg
37,NICOLAS  FERNÁNDEZ ,  chi   
51,bruno matas     ,  argentino   
44,Sebastian  González , Uruguayo
39,"Mactas, Daniel ",brasil
21,"   soto,   esteban  ",  chileno
20,MARTIN    RODRÍGUEZ  , brasileño
62,"  Ramirez,    Jose ",  uy   
47,  David Muñoz  ,brazil
55,LUCAS LÓPEZ    , otros
49,  matias gonzález , Uruguayo
42,  Jose González    ,  chileno
20," PÉREZ, DANIEL ",brazil
41,SEBASTIAN VIEY  , Brasil
23,alexis   riglos    , Brasil
18,gabriel rodríguez , chileno
51,"Muñoz, Victor ",otros
44,tomas fernández , uruguay
32,"amenabar,  cristobal ",  br   
19,   Prof.   David Gómez    ,  --
38,NICOLAS    PEREZ  ,  arg
34,Ing Cristobal Pérez  , chilena
29," López, Javier ",  Otros 
44,nicolas  contreras   ,  brasilero
23,"lic    pérez, jorge  ",brasil
39,"Guevara, Juan  ",  uruguayo
21,"Perez, Benjamin ",ar
54,"ing.   licastro, esteban    ",  chi   
45,Licenciado Federico Alzate  , argentina
65,   SEÑOR MATIAS  CASTRO    , brasileño
47,  prof. abel fernández   , brasileño
50,"Martínez, Jorge ",ch
40,"Casullo, Tomas ",  Otros 
21,  Ingeniero Bruno    Riglos     ,Uruguay
50,lucas montoya ,  brasilero
31,  benjamin casullo  , chilena
56,Jose Sánchez  ,  br   
47,victor sánchez   ,  chileno
58,"González, Maximiliano ", argentno
56," García, Rodrigo     ",  argentino   
54,cristobal   fertuchelli  ,Chileno
65,ernesto garcía ,  arg
65,"centenera, maximo ",uy
43,"SEÑOR   LÓPEZ, MAXIMILIANO ",brasil
19,"  MONTOYA,    FRANCO    ",brasil
24,diego rodríguez ,Chileno
59,"rodríguez, pablo     ", brasileño
47,"mactas,    carlos       ", Uruguayo
29, CRISTIAN CARDONA ,  brasilero
40,"Fanon,    Fidel ",--
43,angel gonzález  ,  chi   
56,"gonzález, julián   ",--
28,Tomas Riglos ,  chi   
34,"  lic    viey, pablo    ", chilena
26,  Luis Castañeda    ,Uruguay
31, luciano garcía  ,  brasilero
65,"SÁNCHEZ, FERNANDO    ", chilena
56,"Sánchez, Juan ",argentino
42,   ing    fernando castro   , argentno
47,"   Ing Hernández,   Gustavo   ",ch
60,"lupo, luis   ",ch
56,ernesto mendoza    ,  argentino   
18,rodolfo contreras      ,Chileno
61,"Señor   Guevara,  Camilo ", uruguay
52,"   ing. sacado, julian   ",  argentino   
47,"  Dr. Riglos,  Jorge    ",  brasilero
62,"martínez, pablo ",  uy   
34,"LIC. MUÑOZ, DIEGO  ",  --
49,david aristizabal  , Uruguayo
58,camilo perez ,uy
52,Lic. ernesto silva ,  --
31,matias garcía ,  uy   
36,  leandro ramirez      , argentina
27,"Aguirre, Rodrigo ",  --
27,Jose    Aguirre ,--
39,Bastian    Pérez    ,  uruguayo
55,"Martínez, Amaro ", chileno
55,"   ing. gómez, jonás ",Chileno
41,"sánchez, matias     ",  uy   
38,Lic. Federico    Orondo    , otros
19,"  RODRÍGUEZ,  THOMAS     ",  brasilero
41, eric  garcía     , chilena
60,Sebastian    Matas      , Brasil
41,   prof. sebastian gonzález  ,  uy   
47,"sánchez, renato ",  chileno
36,"  rodríguez, joaquin    ",  uy   
54,"Contreras, Matias ",  brasilero
44,nicolas cardona   , brasileño
24,  renato flores ,  uy   
32,"   rodríguez, tomas ", brasileño
47,lucas fernández , otros
47,Jorge Rodríguez , argentno
65,"ing martínez,   jose   ",otros
30,gaspar   garcía ,  br   
64, Sebastian   Fabricci  ,Uruguay
25,"  guevara, sebastian   ",brazil
60,   Luciano Contreras , Uruguayo
32,   Gaspar   García ,  --
24,"fanon,    sebastian  ",  uruguayo
34,   Lucas  Fernández , chileno
30,"lic.    gonzález, bruno       ", argentina
64,señor néstor contreras , otros
49, damian fernández , argentno
60,"gómez,    agustin ", chilena
63,"alsina, eric   ", Uruguayo
23,"ing   antonello,  angel ", argentno
45,"  rodríguez,    julio ",otros
18,"  Mactas,    Gustavo      ", argentina
20, emilio rodríguez ,  uy   
56,"soto, martin    ",  uy   
47,"   montoya,  martín    ",  chi   
30,Dr.   Eric López    ,  chileno
63," Soto, Fidel   ",otros
65,"lupo, jonás  ", argentina
48,Ingeniero Federico Flores    ,  --
64,Cristian Cardona , Brasil
36,"Licastro, David    ",  br   
47,Juan   Guevara   , uruguay
28,luciano cardona ,  Otros 
59,francisco casullo   ,  br   
34,  lic.    cristian   montoya ,ar
45,"   González, Felipe    ",ch
46,  Nicolas   Mango ,brasil
51,"hernández, julian   ",brasil
42,"  rodríguez, ernesto ",otros
48,"GONZÁLEZ,  JULIAN   ",--
37,   juan sánchez  , argentno
64,esteban   gómez  ,  uy   
52,"garcía,  julian ",  chileno
26,"Castro,  Mateo    ",uy
29,"  marchet, andrés   ",  argentino   
50,"Guevara, Bruno ", otros
36,  ALEXIS   HERNÁNDEZ ,  arg
38,"Castro, Pablo ",brazil
22,"gonzalez,   maximo ",brasil
28,alexis  martínez     , argentina
18," sánchez, alexis  ",Uruguay
52,   Alexis González , chileno
34,"sánchez,   federico  ", chilena
23,"Fernández, Benjamin   ",brasil
46,"   lic flores,   andrés ",argentino
21,Jorge Licastro    ,ar
27," sánchez, emilio ",uy
29,LUCAS LÓPEZ    ,Uruguay
20,"Aristizabal, Andrés    ",brasil
36,"licenciado sacado, bastian    ",  chi   
60,"Gonzalez, Emilio    ",  --
53," contreras, lucas ",Uruguay
58,alonso   martín ,uy
54,"   martínez,   tomas   ",  uruguayo
18,"González, Gustavo ",otros
35,néstor díaz  ,  uy   
37,Luis Centenera  ,Uruguay
21,"castro, sebastian     ", argentina
24,"  ingeniero  fertuchelli, julio  ",  argentino   
37,"lópez, felipe    ", brasileño
23," marchet,  nicolas   ",  brasilero
22,"Ing Muñoz,    Cristobal ",argentino
63,"garcía, luciano    ",  brasilero
18,Dr.  matias   gonzález    ,otros
54,Lic.  Jose  González   ,uy
47,"lópez,   ignacio  ",otros
38,fernando    pérez   , Uruguayo
53, ingeniero   alonso gonzalez   ,  chi   
23,  camilo garcía    ,  chi   
60,"perez,  rodrigo ", brasileño
56,"gonzález, ignacio  ",Chileno
25,"Alsina,  Juan   ",  uruguayo
25,"  marchet, julio ",brasil
35,   Ing. Julian  Aguirre ,  arg
32,"   ing.    hernández,   cristobal ",  uruguayo
56,"rojas,    rodolfo     ", argentno
49,"sacado, rodolfo ", uruguay
26,"  fernández, alonso    ",  Otros 
20,pablo gutierrez , Brasil
35,fernando  gonzález ,brasil
38,alonso gómez    , argentno
30,  ingeniero  matias rodríguez     , chileno
56,sr. jose   matas , argentina
29, Dr. maximiliano    sánchez    ,ar
51,"montoya, jorge   ",  br   
31, matias  sánchez ,  --
52,Diego Mendoza  ,  argentino   
49,"   Sepúlveda, Vicente    ",  uruguayo
56,prof. alexis    casullo ,Uruguay
49,julio sanchez ,  uy   
32,sebastian   nicastro ,  chi   
38,"   perez, maximo ", argentno
19,rodolfo  aristizabal    , chileno
45,"   guevara, cristobal ", chilena
60, Ing. Francisco   Sánchez ,--
39,   jorge  pérez ,  arg
29,"Licastro,   Eric ",  br   
50,"ramirez, joaquin ", brasileño
65,   angel   gómez    , chileno
20,esteban marchet  ,brasil
60,Emilio Muñoz ,argentino
19,joaquin   rodríguez ,otros
40,   david guevara      ,brasil
54,Doctor  Rodolfo   González    , Uruguayo
33,"castro, agustin   ",Chileno
52,"Mactas,  Gustavo     ", chilena
65,diego garcía ,  chi   
48,emilio gonzález   ,  argentino   
46,"PEREZ,    ERIC ",  argentino   
60,felipe  londoño       ,  br   
44,"Martínez, Emilio ",brazil
23,juan   mango  ,ar
57," gonzález, julian   ",ar
26,"fanon, camilo    ",  --
52,alonso mendoza    ,  chi   
47,"Rodríguez,   Agustin    ",  chi   
34,"díaz, fernando ", chileno
48,"sánchez, javier   ",  brasilero
39,"  Aristizabal,    Juan     ",  br   
40,"Casullo,  Esteban ",brazil
52,"   martínez,   federico   ",  chi   
23,"rojas, fernando ", argentina
44,"Fernández,    Jorge     ",ch
23,rodrigo rivadavia  ,ar
60,Lic.  nicolas gonzález    , Brasil
64,"garcía,  matias ",ch
61,Ing    Cristobal    Fernández  , Brasil
43,esteban  castañeda , brasileño
24,cristobal sánchez , otros
39," licastro, alonso ",Chileno
37,ing victor pérez , otros
59,"sepúlveda,  andrés ", chilena
30, Lic. martin díaz ,brazil
20, franco castañeda ,argentino
19,"fertuchelli, pablo       ", argentno
63,"García, Ernesto ",  chi   
59,  matias antonello    , Uruguayo
52,"   ALSINA,   CRISTOBAL  ",  --
32,Esteban Perez ,  uy   
51,"orondo,    abel   ",  argentino   
53,gaspar amenabar    ,  uruguayo
46,Thomas Pérez   , argentno
36,   julio   antonello ,  argentino   
44,  Pablo   Pérez ,  chileno
59,  Daniel    Rodríguez ,  chi   
52,"licenciado fernández, bastian ", argentno
49,"martínez, tomas ",  chileno
32,"pérez,  gaspar    ",brazil
20,Andrés Perez , otros
47,"   rodríguez,    juan ",  brasilero
65,"  García, Emilio ", chileno
40,"   pérez,  thomas    ",  chi   
56,"   sanchez, alexis    ",--
21,"   Dr. aristizabal,  julián    ",--
55,Andrés Hernández ,  arg
37,"   ORONDO, SEBASTIAN ",ch
29,Dr. Gaspar Castañeda   , brasileño
54,  sr. jorge    antonello   , brasileño
63, Luis Perez , chileno
62,   martin ramirez , Brasil
50,"   CENTENERA, ANGEL      ",--
62,matias rojas ,  brasilero
49,"gonzález,   lucas  ", Brasil
32,   victor   flores ,brasil
50,ingeniero  tomas soto , Uruguayo
36,  mateo orondo , chileno
32,lic. julian hernández ,--
19,MATEO GONZÁLEZ  ,otros
61,"   Marchet, Daniel ", chileno
55,"lic. ramirez, pablo  ",  uruguayo
65,"casullo, andrés    ",brazil
32,   Pablo García , chilena
47,"   aristizabal, javier ",  brasilero
19,bastian gonzalez    ,Chileno
42,"  prof.   casullo, esteban  ",uy
23,felipe  lópez ,  brasilero
19, RODOLFO AGUIRRE , chileno
26,"Licenciado Silva, Pablo  ",  chi   
46,"   montoya,    pablo    ", Brasil
48,nicolas    nicastro    ,  argentino   
52,Matias   González , Uruguayo
53,"Mango, Gustavo ",brasil
61,CAMILO HERNÁNDEZ    ,brazil
57,"guevara, javier   ",Chileno
53,Ing. Benjamin Rivadavia   ,brazil
20, JORGE CASTAÑEDA ,Uruguay
42," castro,   agustin    ", otros
51,Carlos Sánchez    ,  br   
62,"Flores, Matias ",  brasilero
51,Lucas Soto    , uruguay
59,"   marchet,  juan ",  uy   
53,victor   alsina  ,  chileno
44, ING.    MATEO  CASTAÑEDA ,  br   
51,"  SEPÚLVEDA, LUIS ", chilena
26,"Dr. rodríguez, esteban  ",  Otros 
33,"MARTÍNEZ, SEBASTIAN  ", otros
52,"sánchez, pablo  ",  --
29,"López,  Julio  ",ch
58,"   señor gonzález, alonso     ",  argentino   
44,Mateo Pérez    ,  br   
42," Sacado, Mateo    ", chileno
29,   juan    garcía , chilena
34," lic sepúlveda,  martín    ", Uruguayo
59,  maximiliano aguirre  , chileno
33,"lic. fanon, franco   ", Brasil
41,"   LIC. GONZÁLEZ,  GASPAR    ",ch
54,"SANCHEZ, NÉSTOR  ",  chileno
20," licenciado gómez, cristian      ",otros
52,ING. ANDRÉS ALSINA ,  chi   
38,"doctor lupo, damian ",  arg
53, ing    benjamin   díaz , chileno
65,Renato  González    ,argentino
25,"martínez,    cristobal ", chilena
32,Pablo Gómez  ,  --
50,ernesto  fernández    ,uy
19,  Mateo Matas    , brasileño
42,"González, Tomas ",  arg
41,ignacio mango ,Chileno
58,AMARO  GÓMEZ ,  --
59,Luis  Sánchez  ,  uruguayo
61,"  MATAS,    PABLO  ",  uy   
28,"londoño,    javier     ",  uy   
23,"Ing    García, Francisco ",  --
24,felipe orondo   ,otros
20,Doctor Luis  Ramirez    , Brasil
32,"fertuchelli,   vicente    ",  uy   
56,"lópez,   julián ",  uruguayo
25,"  ing pérez, maximo     ",otros
40,"  Gonzalez, Benjamin ",  --
25,santiago mendoza ,  argentino   
30,juan aristizabal     ,  uy   
61,FERNANDO   GONZÁLEZ ,  argentino   
43,"ing. garcía, ignacio     ", otros
18,"martínez, maximo    ",argentino
33,"licenciado   aguirre,    matias  ",ar
32,"   fernández, franco  ",ar
61," Alsina, Lucas     ",Uruguay
33,"López, Cristobal    ",  arg
34, jonás gutierrez    ,brasil
45,"garcía, damian ",brazil
51,juan sánchez ,Uruguay
42," licenciado   centenera, emilio  ",brasil
43,"gonzález, tomas ", chileno
47,andrés orondo ,  --
35,  joaquin rodríguez ,uy
51,"   alsina, amaro    ",Uruguay
34,"Alsina, Matias ",uy
27," guevara,  julian ", uruguay
61,"  Silva,    Bastian    ", chilena
63," Lic.  castro, rodolfo   ",  chileno
23,alexander    fernández ,otros
48,"García, Esteban  ",  brasilero
55,gustavo  silva    ,otros
19, fernando amenabar , argentina
26,Bruno  Sanchez   ,Chileno
53," martínez,   rodolfo  ",  argentino   
61,Doctor Bastian Fanon   ,  chileno
31,ingeniero maximo nicastro ,  arg
33, julián gómez   ,  --
29, mateo    gómez  ,brasil
39,"   rodríguez, julián   ",ch
57,Eric Rodríguez ,  --
29,"GONZÁLEZ, GASPAR      ", chileno
31,"mango, maximo  ",  arg
57,Esteban Martínez ,  br   
38, ESTEBAN ANTONELLO ,  argentino   
64," Martínez, David  ", chileno
59,   pablo silva ,  --
62,"Martínez, Luciano ",ch
51," ingeniero  contreras, leandro ",--
60,Agustin García  ,--
55,Gustavo González  , uruguay
48,pablo    gonzález   ,  Otros 
48,"  lic.   fertuchelli,   lucas  ", Brasil
57,"Riglos, Martin      ",  brasilero
19,"   prof.  pérez, pablo     ",  br   
61,"MUÑOZ, FERNANDO    ", chileno
59,"   pérez, amaro ", chilena
51,"mango, lucas ",  br   
45,"SÁNCHEZ, SEBASTIAN    ",  uruguayo
27,"  Martín, Victor   ", argentno
37,"centenera, santiago    ",brasil
28,"   Dr. Sanchez,    Pablo  ",argentino
34,ing. victor    martínez ,  br   
27,"martín, joaquin     ",otros
34,damian montoya ,Uruguay
20, Maximo  Gonzalez     ,Uruguay
42,"García, Maximiliano ", argentno
25,Luciano Lupo ,Uruguay
52,juan sánchez    , chileno
23,"amenabar,    matias ",uy
36,juan  muñoz ,brazil
50,doctor    andrés fertuchelli  , uruguay
33,Bruno    Nicastro   ,  uy   
27,ESTEBAN   MARTÍNEZ ,  uy   
43,AMARO AGUIRRE  ,--
39,"ing. castañeda,   lucas ",brazil
62,Leandro   Fernández    ,ar
59,maximiliano gonzález  ,brazil
40,MATIAS RODRÍGUEZ ,  brasilero
51,"  García, Bruno ",argentino
35,pablo gonzález ,ch
43,"sacado, jonás ",--
29,   CARLOS RIGLOS    ,Uruguay
39,"  Dr. sánchez, jorge    ",Chileno
65,Sebastian Gómez  ,ch
22," Rivadavia, Julian    ",otros
27,"sánchez, julio   ",  chileno
30,ignacio mactas   ,brasil
61,carlos    garcía   ,ch
32,"gonzalez, julián   ",  Otros 
28,lic. carlos   flores  ,  arg
50,"   gómez, carlos    ",--
37,David González ,--
46,"nicastro, agustin ",--
63,rodolfo perez ,  uruguayo
53,"  Fernández,    Jorge   ",brazil
28,   DIEGO RIGLOS     ,ch
58,"Casullo, Abel    ", argentno
26,"antonello,  emilio ", otros
19,david  pérez ,ch
30," rodríguez, diego ",ar
58,gustavo  londoño    , chilena
22,"   Ing    Antonello, Tomas    ",brasil
35,   Julián Fanon , brasileño
32,cristian mendoza ,  chi   
38,"sr.    matas, bastian  ",uy
37,"   sepúlveda,  lucas    ", uruguay
48,"   montoya, jorge ", chileno
63,"   martín, jorge ",  chi   
61,"SÁNCHEZ, RODRIGO    ",uy
35,diego   marchet    ,  brasilero
24,"   alsina,    néstor     ",argentino
47,"Pérez, Camilo  ", argentno
54,"Lic. Viey, Martín ", brasileño
34, Julian    Pérez    ,brazil
43," sánchez,    juan   ",  Otros 
45,"Sánchez, Maximo    ",brasil
45,"señor   antonello,   bastian ",Chileno
50,daniel mendoza    , Brasil
57,  ing. juan díaz ,brasil
44," Fabricci, Luis    ",uy
62,"ingeniero sánchez, santiago      ",uy
20,"silva,   maximiliano ",uy
20," mactas, jose   ",  uruguayo
18,"García, Juan ",argentino
57,thomas mendoza   ,  chi   
55,Jonás Londoño    ,  chi   
20," aristizabal, victor ",--
18,"Dr. casullo, camilo   ",uy
29, jorge  rojas    ,  br   
35,prof. franco riglos       ,ar
26,"ing. lupo, néstor ", chileno
58,  ing  julio fertuchelli , argentina
64,  jonás    orondo   ,  arg
56," ALZATE, RENATO    ",  brasilero
53,"martín, amaro  ",brasil
21,"  lópez, ernesto    ",  uruguayo
29,"   rodríguez, gabriel   ", argentina
28,santiago gómez ,ch
49,Ignacio Amenabar  , argentno
23,"LIC RODRÍGUEZ,    NÉSTOR    ",ar
38,licenciado angel mactas , chilena
64, LIC.   FRANCISCO LÓPEZ ,Uruguay
25,"   fanon, jose     ",  br   
34,"  GARCÍA, JORGE    ", chilena
39,"Rodríguez, Gustavo ", brasileño
29,   martín rodríguez , chilena
51, Lucas    Gutierrez , uruguay
43,"   ROJAS,   MATIAS  ", argentno
34,ernesto    viey    ,  br   
25,"Cardona, Angel    ",Uruguay
53,"Gonzalez, Joaquin    ",  uy   
22,"   gómez, sebastian ",  argentino   
65,señor camilo lópez , Uruguayo
53,"Pérez,   Maximo   ", uruguay
57,david soto ,  uruguayo
47,matias marchet  ,  argentino   
32,"  mango,  rodolfo ", chilena
48,"García, Juan   ",ar
43,   luis mango     , otros
57,"  lic. martínez,  joaquin ", brasileño
40,"prof. garcía, mateo    ",--
23,"  martín, emilio ",  arg
20,"   Dr.   Castro, Esteban    ", uruguay
23,"rivadavia,   daniel ", uruguay
38," Gutierrez, Julian  ", Uruguayo
45," riglos, maximiliano     ",argentino
54,"   Ing   Alsina,    Alexander ", chilena
48,camilo   ramirez       , brasileño
51,Dr. Gaspar González  , brasileño
58,"sepúlveda, angel ", uruguay
28,   carlos    garcía   ,  brasilero
50, Pablo   Aguirre ,argentino
63,  señor  lucas contreras ,Chileno
53,Angel    Martínez ,argentino
64," marchet, gaspar   ",  uy   
35,"  Nicastro,   Esteban ",  chileno
21,damian  pérez    , chilena
21,"Ingeniero    Flores,   Ignacio ",ar
21,julian gonzález    ,Uruguay
43,jose   garcía  ,Chileno
25,"Licenciado García,  Gaspar   ",  --
25,juan   sepúlveda   ,Chileno
55,"LÓPEZ, BENJAMIN ",  arg
32,"londoño, carlos       ",ar
31,"díaz,  gaspar ",  arg
50,gustavo rojas   ,  --
62, cristobal pérez ,uy
52,"nicastro, daniel ",  brasilero
31,jorge gutierrez   ,  arg
22,"Rodríguez,   Cristian ",  --
60," Castañeda,   Maximiliano ",  argentino   
50, Gaspar Mendoza ,  chi   
46,"  mango, benjamin ",argentino
59,"aristizabal, esteban       ",  argentino   
51,"Muñoz, Julio ",ar
60,Julio González , otros
