titulo,nombre,apellido,edad,nacionalidad
Lic.,Victor,Orondo,25,Chilena
,Victor,García,42,Uruguaya
,Alexis,González,56,Argentina
,Jose,Perez,29,Chilena
,Angel,García,51,Uruguaya
,Jose,Amenabar,49,Brasileña
,Daniel,Flores,47,Otra
,Benjamin,Antonello,22,Uruguaya
,Federico,Perez,64,
,Fidel,Silva,36,
,Ernesto,García,57,Argentina
Prof.,David,Rodríguez,25,Argentina
,Joaquin,Castro,25,Argentina
,Bruno,Muñoz,40,Argentina
,Lucas,García,33,Uruguaya
,Sebastian,Casullo,42,Chilena
,Lucas,González,51,
,Martin,Mango,64,Chilena
,Rodrigo,Marchet,40,Chilena
,Ernesto,Orondo,60,
Dr.,Benjamin,Orondo,36,Argentina
,Alonso,Castro,42,Uruguaya
,Alexander,Martín,38,Brasileña
,Nicolas,Alsina,35,Brasileña
,Eric,Rivadavia,44,Otra
,Julián,Aguirre,39,Chilena
,Juan,Lupo,34,Argentina
,Diego,Mango,51,Uruguaya
Dr.,Rodolfo,Pérez,46,
Lic.,Gaspar,Hernández,33,Chilena
,Jose,González,30,Brasileña
,Pablo,Pérez,43,Uruguaya
,Daniel,Mactas,21,Uruguaya
,Ernesto,Amenabar,57,Otra
,Lucas,Ramirez,58,Chilena
,Julian,Rojas,46,Otra
,Agustin,Sacado,21,Chilena
,Jose,Licastro,32,Brasileña
Lic.,Ernesto,Martín,42,Brasileña
Dr.,Bastian,Mendoza,36,Brasileña
,Luciano,Matas,19,Uruguaya
,Julio,Gómez,62,Brasileña
,Jonás,Viey,20,
,Francisco,Sánchez,58,Argentina
,Julio,Perez,55,
,Matias,Sánchez,35,
,Daniel,Riglos,62,Chilena
,David,Nicastro,26,Uruguaya
,Alonso,Pérez,20,Brasileña
,Benjamin,Mactas,60,Uruguaya
,Joaquin,Orondo,50,Chilena
Lic.,Julio,Díaz,25,Chilena
,Abel,Alsina,21,Brasileña
Ing.,Martín,Cardona,22,Brasileña
,Esteban,Castañeda,25,Brasileña
,Rodrigo,Gutierrez,36,Argentina
,Federico,López,35,Chilena
,Javier,Mactas,65,Uruguaya
,Ernesto,Cardona,56,
,Alexander,Gómez,20,Otra
,Bastian,Soto,46,Uruguaya
,Jorge,Fanon,38,Brasileña
,Damian,Perez,52,Brasileña
,Benjamin,Castro,64,Chilena
,Carlos,Aguirre,54,Brasileña
,Santiago,Rodríguez,59,Argentina
,Nicolas,Londoño,18,Otra
Dr.,Gaspar,Viey,44,Argentina
,Bastian,Aguirre,32,Brasileña
,Javier,Fernández,65,Chilena
,Daniel,Pérez,47,Chilena
,Javier,Contreras,19,Argentina
,Santiago,Gonzalez,39,Uruguaya
Ing.,Jose,Guevara,34,Brasileña
,Alexander,Alzate,48,Argentina
,Julio,Nicastro,48,Chilena
,Andrés,Rodríguez,60,Brasileña
,Diego,Lupo,60,Argentina
,Fidel,Gómez,24,Chilena
,Sebastian,Castañeda,32,Brasileña
Dr.,Matias,García,45,Otra
,Carlos,Gutierrez,23,Brasileña
,Sebastian,Martín,31,Argentina
Ing.,Tomas,Rivadavia,30,Chilena
,Mateo,Riglos,48,Brasileña
,Jorge,Mendoza,37,Otra
,Agustin,Rojas,22,Chilena
,Carlos,Martínez,57,Uruguaya
,Jose,Alzate,61,Chilena
,Franco,López,51,Chilena
,Julio,González,34,
,Fidel,Pérez,64,Chilena
,Gaspar,Sanchez,29,
,Damian,Gutierrez,53,Chilena
,Carlos,Sánchez,54,Argentina
,Matias,Martínez,32,Chilena
Dr.,Abel,Martínez,49,
,Vicente,Sacado,53,Otra
,Abel,Aguirre,63,Brasileña
,Gustavo,García,62,Uruguaya
,Nicolas,Aristizabal,32,Chilena
,Felipe,Fernández,29,Uruguaya
,Esteban,Contreras,36,Argentina
,Carlos,González,57,Otra
Dr.,Joaquin,Fernández,38,Argentina
,Diego,Castro,64,Brasileña
,Felipe,González,38,Brasileña
,Juan,Contreras,58,Brasileña
,Andrés,López,55,Otra
,Pablo,González,35,Brasileña
,Bruno,Sánchez,61,
,Juan,Sepúlveda,53,
,Juan,Contreras,38,Otra
,Benjamin,Perez,36,Chilena
,Carlos,Fanon,27,Chilena
,Carlos,Montoya,58,Argentina
,Jonás,Castro,25,Chilena
,Jorge,González,26,Chilena
,Pablo,Rojas,38,Brasileña
,Julio,Fertuchelli,45,Uruguaya
,Alexis,Perez,44,Argentina
Ing.,Fidel,Casullo,58,Argentina
,Mateo,Perez,43,Chilena
,Matias,Fernández,46,Argentina
,Maximiliano,Soto,20,Uruguaya
,Leandro,Marchet,23,Argentina
,Esteban,Castro,28,Brasileña
,Gaspar,Sanchez,61,Brasileña
,Martín,García,30,Otra
,Julio,Martín,39,Otra
,Esteban,González,52,Chilena
,Daniel,Díaz,48,Argentina
,Bruno,Fabricci,29,Chilena
,Eric,Mango,19,
,Carlos,González,26,Uruguaya
,Martin,González,62,Chilena
,Felipe,Viey,18,Chilena
,Carlos,Nicastro,37,Argentina
,Felipe,Amenabar,62,Argentina
,Victor,Mactas,57,
,Franco,Pérez,43,Brasileña
,David,Martínez,31,Brasileña
Ing.,Julian,Rodríguez,45,Argentina
,Juan,Cardona,51,Uruguaya
,Gustavo,Castañeda,59,Brasileña
,Julian,Gómez,41,Chilena
,Fidel,Rodríguez,25,Uruguaya
,Eric,Hernández,40,Chilena
,Jose,Sacado,56,Brasileña
,Sebastian,Castro,41,Otra
,Agustin,Hernández,23,Otra
Prof.,Damian,Fabricci,21,Uruguaya
,Mateo,Martínez,27,Argentina
,Juan,Marchet,31,Brasileña
,Fernando,Sanchez,18,Otra
,Julián,Martínez,36,Otra
,Esteban,González,50,Brasileña
,Gustavo,Castro,20,Uruguaya
,Alonso,Guevara,56,Argentina
,Maximiliano,Rojas,46,Uruguaya
,Javier,Aguirre,37,Argentina
,Abel,Fernández,19,Argentina
,Maximo,Sacado,43,Uruguaya
,Federico,García,24,Argentina
,Damian,Marchet,22,Chilena
,Renato,Sánchez,60,Argentina
Prof.,Gaspar,Hernández,24,Argentina
,Leandro,Muñoz,49,Argentina
,Javier,Pérez,26,Chilena
,Sebastian,Marchet,50,Otra
,Martín,González,40,Argentina
,Thomas,Casullo,38,Chilena
,Franco,Casullo,38,Uruguaya
,Matias,Fabricci,64,Otra
,Alexis,Gutierrez,21,Otra
,Matias,López,51,
Lic.,Abel,Martínez,43,
,Agustin,Aguirre,58,Brasileña
Prof.,Victor,Pérez,21,Uruguaya
Ing.,Alexis,Fabricci,55,Chilena
,Juan,Rivadavia,47,Chilena
,Jorge,González,41,
,Renato,Rojas,47,Argentina
Lic.,Bastian,Díaz,29,Argentina
,Eric,Pérez,24,Otra
Ing.,Juan,García,18,Argentina
,Rodolfo,Fabricci,45,Uruguaya
,Camilo,Ramirez,18,Argentina
,Gaspar,Sánchez,65,Otra
,Nicolas,Mendoza,49,Brasileña
,Franco,Martín,60,Uruguaya
,Jose,Martín,42,Uruguaya
,Pablo,Cardona,40,Chilena
,Lucas,Sánchez,59,Chilena
,Gaspar,Alsina,19,
,Damian,Fanon,55,
,Alonso,Sanchez,26,Uruguaya
,Federico,Rojas,23,Otra
,Jose,Aguirre,35,Brasileña
,Ignacio,Matas,60,Uruguaya
,Javier,Castro,44,Uruguaya
,Francisco,Fernández,53,Brasileña
Lic.,Néstor,Rodríguez,33,Uruguaya
Lic.,Agustin,Rodríguez,23,Argentina
,Alonso,Licastro,37,Otra
,Pablo,Martín,33,Uruguaya
,Cristian,Londoño,22,Uruguaya
Lic.,Tomas,Sacado,23,Argentina
,Mateo,Cardona,33,Argentina
,Bruno,Viey,59,Chilena
,Martin,Gómez,34,Otra
,Alexander,Martín,27,Brasileña
,David,Fernández,25,Chilena
,Bastian,Gómez,31,Brasileña
,Gaspar,Martínez,52,Otra
,Sebastian,Gómez,64,Chilena
,Francisco,Silva,43,Argentina
,Alexis,Flores,31,Uruguaya
,Ernesto,García,53,Uruguaya
,Jonás,Rodríguez,56,Argentina
,Jose,Martínez,36,Otra
,Daniel,Martín,26,Uruguaya
,Sebastian,Fernández,34,Uruguaya
,Andrés,Rodríguez,33,Chilena
,Juan,Fernández,60,Uruguaya
Dr.,Eric,López,64,Brasileña
Lic.,Leandro,López,22,Argentina
,Julian,Perez,42,Chilena
,Cristian,Pérez,57,Uruguaya
,Emilio,Mango,46,Argentina
Lic.,David,Soto,33,Uruguaya
,Lucas,Cardona,45,Chilena
,Gustavo,González,51,Uruguaya
Ing.,Renato,Rodríguez,28,Argentina
,Abel,Fanon,39,Otra
,Juan,Silva,43,Argentina
,Jorge,Silva,49,Brasileña
,Carlos,Marchet,32,Uruguaya
,Jose,Sánchez,19,Otra
,Renato,Martínez,60,Chilena
,Amaro,Pérez,53,Chilena
,Julián,Casullo,53,Chilena
Dr.,Cristian,Orondo,58,Brasileña
,Alexis,Pérez,39,Brasileña
,Julio,Silva,25,Argentina
,Jonás,García,34,Brasileña
,Esteban,Díaz,21,Argentina
,Fernando,Viey,34,Otra
,Bastian,Martínez,36,Brasileña
,Vicente,Rivadavia,58,Argentina
,Francisco,Contreras,48,Argentina
,Luciano,Rodríguez,52,Brasileña
Lic.,Juan,Rodríguez,29,Argentina
,Cristobal,Martínez,36,Uruguaya
,Julian,García,45,Argentina
,Esteban,Castro,43,Chilena
Dr.,Alexander,Gutierrez,65,Brasileña
Dr.,Esteban,Pérez,35,
Lic.,Martín,Rodríguez,29,Argentina
,Ignacio,Rivadavia,65,Brasileña
Dr.,Cristobal,González,36,Brasileña
,Daniel,Castro,26,Otra
,Maximo,Fanon,64,Otra
Ing.,Damian,Martínez,27,Uruguaya
,Vicente,Matas,23,Argentina
,Rodolfo,Antonello,18,Chilena
Lic.,Camilo,Martínez,21,Argentina
Lic.,Cristian,Ramirez,50,Brasileña
,Lucas,Casullo,38,Uruguaya
,Camilo,Martín,18,Brasileña
Lic.,Cristobal,González,27,Chilena
,Jonás,Martín,34,Chilena
,Néstor,Orondo,55,Chilena
Ing.,Camilo,Mactas,27,Chilena
Ing.,Gaspar,Rojas,61,Brasileña
,Esteban,Díaz,47,Brasileña
,Cristobal,Sánchez,51,Brasileña
,Lucas,Sanchez,51,Otra
,Daniel,Castro,27,
,Cristobal,Castañeda,46,Brasileña
,Alonso,Flores,31,Brasileña
,Rodolfo,García,37,Chilena
,Cristobal,Fanon,52,Argentina
,Jonás,Orondo,30,Uruguaya
,Sebastian,Licastro,56,Uruguaya
Prof.,Ernesto,Nicastro,58,Uruguaya
,Rodolfo,Perez,47,Chilena
,Matias,Aguirre,64,Argentina
,Agustin,Gonzalez,38,Argentina
,Francisco,Rodríguez,57,Brasileña
,Jorge,Perez,63,Otra
,Angel,Martín,31,Argentina
,Jorge,Gómez,63,Brasileña
,Camilo,Rodríguez,41,Uruguaya
,Martín,Soto,34,Chilena
Lic.,Luciano,Rodríguez,65,Uruguaya
,Fidel,López,24,Brasileña
,David,Cardona,32,Chilena
,Abel,Sepúlveda,62,Uruguaya
,Martin,Orondo,37,Chilena
,Fidel,Cardona,37,Argentina
,Franco,Rodríguez,23,Uruguaya
,Damian,Amenabar,23,Brasileña
,Cristian,Martínez,61,Argentina
,Martín,Licastro,56,Argentina
,Lucas,Pérez,38,Otra
,Alonso,Soto,42,Uruguaya
,Joaquin,Sánchez,62,Argentina
,Leandro,Pérez,60,Otra
,Francisco,Rivadavia,27,Brasileña
,Vicente,Lupo,61,Brasileña
,Juan,Martínez,47,Chilena
,Federico,Rojas,32,Chilena
,Rodolfo,Castañeda,64,Chilena
,Abel,Sánchez,36,Argentina
Lic.,Pablo,Guevara,33,Uruguaya
,Julián,Montoya,52,Chilena
,Angel,González,62,Uruguaya
,Gabriel,Pérez,44,Argentina
Prof.,Victor,Viey,65,Argentina
Lic.,Ernesto,García,35,Argentina
,Alexis,Sánchez,59,Chilena
,Julio,Gómez,60,Argentina
,Gabriel,Sanchez,50,Chilena
,Julio,Sanchez,39,Chilena
Lic.,Emilio,Sánchez,45,Chilena
,Cristian,Gómez,39,Uruguaya
,Joaquin,Riglos,50,Brasileña
,Abel,López,21,Uruguaya
Dr.,Francisco,Martínez,41,Brasileña
,Jorge,Amenabar,36,Uruguaya
,Bastian,Antonello,19,Uruguaya
,Emilio,Nicastro,65,Brasileña
,Francisco,García,41,Chilena
Lic.,Francisco,Rodríguez,26,Brasileña
,Julio,Orondo,58,Brasileña
,Maximiliano,Castro,55,Uruguaya
,Abel,Fernández,41,Uruguaya
,Ernesto,Fertuchelli,24,Uruguaya
,David,Martínez,37,Uruguaya
Ing.,Angel,Castañeda,45,Chilena
,Benjamin,Orondo,18,Chilena
,Joaquin,Antonello,54,
,Eric,Sepúlveda,32,Uruguaya
,Vicente,Viey,40,Uruguaya
,Pablo,Martín,51,Brasileña
Dr.,Camilo,Lupo,42,Otra
,Jonás,González,65,Argentina
,Cristian,Orondo,65,Brasileña
,Rodrigo,Rojas,29,Chilena
,Luis,Castañeda,23,Chilena
,Julian,Casullo,29,Uruguaya
,Angel,Montoya,29,Otra
,Julián,Fernández,39,Otra
,Rodrigo,Muñoz,25,Chilena
Dr.,Andrés,López,36,Argentina
,Alexis,Gutierrez,43,Otra
,Carlos,Mango,30,Uruguaya
,Joaquin,Fernández,49,Argentina
,Gustavo,Matas,61,Uruguaya
,Franco,Fabricci,20,Argentina
,Ignacio,Fanon,63,
,Abel,Cardona,39,Argentina
,Esteban,Hernández,62,Brasileña
,Emilio,Gonzalez,18,Otra
,Javier,Aristizabal,57,Uruguaya
,Renato,Cardona,37,Chilena
,Joaquin,Marchet,65,Uruguaya
Dr.,Sebastian,Martín,55,Argentina
,Amaro,Lupo,46,Chilena
,Thomas,Pérez,33,Uruguaya
Ing.,Benjamin,Pérez,21,Otra
,Gustavo,Nicastro,24,Brasileña
,Pablo,Castro,27,Uruguaya
,Federico,Orondo,44,Chilena
Lic.,Cristobal,Sepúlveda,37,Brasileña
,Javier,Viey,32,Chilena
,Esteban,Martínez,30,Chilena
,Matias,Rodríguez,27,Brasileña
Ing.,Francisco,Centenera,54,Argentina
,Carlos,Londoño,37,Argentina
,Alonso,Pérez,58,Argentina
,Diego,Aristizabal,53,Brasileña
,Andrés,Alzate,48,Chilena
,Alonso,García,62,Argentina
,Luis,García,65,Brasileña
,Sebastian,Soto,44,
,Juan,Fernández,50,Argentina
,Sebastian,López,60,Uruguaya
,Bruno,Fernández,49,Chilena
Dr.,Esteban,Díaz,19,Brasileña
,Gustavo,Martínez,40,Uruguaya
,Lucas,González,44,
,Pablo,Martínez,59,Otra
,Agustin,Sanchez,48,Brasileña
,Jose,González,60,Otra
,Martín,Fertuchelli,64,Uruguaya
,Sebastian,Pérez,43,
,Martin,Silva,42,Chilena
,Mateo,Fernández,44,Chilena
Ing.,Emilio,López,59,Argentina
,Néstor,Alsina,60,Brasileña
Prof.,Jonás,Montoya,39,Uruguaya
,Bruno,Pérez,39,
,Tomas,Riglos,22,Otra
,Juan,Antonello,44,Uruguaya
,Andrés,Castro,40,Brasileña
,Juan,Fertuchelli,23,Argentina
Prof.,Maximo,Hernández,42,Brasileña
,Juan,Martínez,19,Chilena
,Damian,Sánchez,54,Argentina
,Gustavo,Martínez,23,Otra
Lic.,Carlos,Mendoza,56,Argentina
,Amaro,Fertuchelli,49,Brasileña
,Juan,López,43,Argentina
,Ignacio,Rojas,25,Chilena
,Julian,González,49,
,Javier,Londoño,57,Uruguaya
,Lucas,Pérez,57,Otra
,David,García,53,Brasileña
,Carlos,Pérez,52,
,Julián,Pérez,18,Argentina
,Eric,Nicastro,55,Uruguaya
,Julian,Marchet,44,Brasileña
,Jose,Amenabar,62,Argentina
Dr.,Daniel,Castro,62,Uruguaya
,Eric,Castro,49,Uruguaya
,Carlos,Fernández,48,Chilena
,Pablo,Sánchez,61,Brasileña
,Amaro,Gutierrez,34,Argentina
,Bastian,Ramirez,65,Argentina
,Angel,Martínez,55,Otra
Dr.,Julián,Fanon,25,Brasileña
Ing.,Alexander,Alsina,56,Otra
,Sebastian,Centenera,49,Brasileña
,Cristobal,Fernández,41,Otra
,Tomas,Martínez,54,Brasileña
,Rodrigo,Rodríguez,45,Uruguaya
,Jonás,Nicastro,36,Brasileña
,Matias,González,62,Uruguaya
,Alexis,Nicastro,18,Uruguaya
,Alonso,Orondo,50,Chilena
Prof.,Lucas,Fernández,58,Uruguaya
,Carlos,Sánchez,39,Brasileña
,Martín,Gonzalez,43,Uruguaya
,Pablo,Soto,31,Argentina
,Pablo,Nicastro,50,Uruguaya
Prof.,Javier,Gómez,50,Brasileña
,Rodolfo,Viey,44,Chilena
,Renato,Contreras,22,Uruguaya
,Bastian,Fanon,56,
,Alonso,Silva,52,Chilena
,Martin,Aguirre,24,Brasileña
,Tomas,Alzate,62,
,Rodrigo,González,23,Uruguaya
,Tomas,Aguirre,26,Argentina
,Bastian,Amenabar,61,Brasileña
,Gabriel,López,64,Brasileña
,Abel,Rodríguez,24,Brasileña
,Francisco,López,45,Brasileña
,Abel,Rojas,42,Uruguaya
,Ignacio,González,57,Brasileña
,Alexander,Pérez,21,Brasileña
Ing.,Jorge,Licastro,43,Uruguaya
,Bruno,Fertuchelli,22,Brasileña
,Thomas,Rodríguez,63,Chilena
,Matias,Fertuchelli,46,
Lic.,Damian,Fernández,45,Brasileña
,Gabriel,Mango,42,Chilena
,Damian,Castro,27,Chilena
,Sebastian,Martín,33,Argentina
,Jose,Martínez,57,Uruguaya
,Carlos,Rivadavia,36,Argentina
,Franco,Aguirre,23,Uruguaya
,Andrés,Nicastro,21,Chilena
,Damian,Martínez,23,Chilena
,Jorge,Fanon,58,Uruguaya
,Camilo,Sánchez,50,Argentina
,Abel,Matas,40,Chilena
,Santiago,Gómez,60,Brasileña
,David,Gómez,47,
,Eric,Licastro,35,Brasileña
,Victor,González,55,Chilena
,Lucas,Martín,44,Argentina
,Franco,Martínez,39,Brasileña
,Esteban,Antonello,55,Otra
,Martín,Mactas,39,Chilena
,Eric,Fanon,51,Uruguaya
Ing.,Victor,Sanchez,32,Uruguaya
,Bruno,González,40,Otra
,Lucas,López,40,Uruguaya
Ing.,Pablo,Sepúlveda,38,Brasileña
,Sebastian,González,25,Chilena
,Renato,Sepúlveda,27,Otra
,Renato,Gómez,33,Brasileña
Prof.,Bruno,Casullo,35,Brasileña
,Javier,Silva,60,Argentina
,Victor,Rodríguez,48,Uruguaya
Ing.,Emilio,Lupo,63,Argentina
,Esteban,Perez,27,Chilena
,Joaquin,Castañeda,33,Uruguaya
,Cristobal,González,25,Brasileña
,David,Perez,60,Uruguaya
Dr.,David,Nicastro,39,Uruguaya
,Esteban,Rodríguez,63,Otra
,Luciano,Contreras,58,Chilena
,Diego,Gonzalez,65,Otra
,Luciano,Alzate,34,Uruguaya
,Abel,Centenera,26,Chilena
Lic.,Abel,González,32,Argentina
,Esteban,Riglos,35,Uruguaya
,Camilo,Fernández,33,Brasileña
,Angel,Flores,38,Chilena
,Alexis,Fanon,41,Brasileña
,Camilo,Rojas,35,Argentina
,Joaquin,Martínez,53,Otra
,Jorge,Orondo,26,Uruguaya
,Rodrigo,Ramirez,38,Argentina
,Benjamin,Gutierrez,45,Chilena
Lic.,Maximiliano,Soto,49,Chilena
,Leandro,Fabricci,52,Argentina
,Jorge,Contreras,61,Uruguaya
,Joaquin,González,35,Otra
,Carlos,Centenera,22,Chilena
Lic.,Julián,Montoya,33,Uruguaya
,Luis,Castañeda,32,Argentina
,Renato,García,56,Chilena
,Leandro,Montoya,59,Brasileña
,Joaquin,Aguirre,56,Chilena
,Pablo,González,57,Brasileña
,Benjamin,Sacado,53,Brasileña
,Juan,Sánchez,18,Argentina
,Cristian,Fabricci,40,Uruguaya
,Pablo,Gómez,31,Argentina
,Rodrigo,Sacado,56,Chilena
,Agustin,Sánchez,31,Uruguaya
Prof.,Federico,Silva,33,Chilena
,Gustavo,Amenabar,41,Chilena
,Abel,Castro,26,Uruguaya
,Emilio,Martínez,58,Brasileña
,Abel,Fabricci,21,Chilena
,Cristobal,Gonzalez,56,Brasileña
,Matias,Sepúlveda,53,Brasileña
,Juan,Licastro,46,Brasileña
,Néstor,Gutierrez,46,Argentina
,Jorge,Sánchez,21,Chilena
,Bastian,Lupo,29,Uruguaya
,Alonso,Nicastro,41,Brasileña
,Lucas,Orondo,57,
,Diego,Fernández,46,Uruguaya
,Ignacio,Sacado,25,Uruguaya
,Rodolfo,Fertuchelli,23,Otra
,Alexis,Flores,53,Brasileña
,Jose,Aristizabal,40,Brasileña
,Cristobal,Rojas,57,Uruguaya
Lic.,Cristobal,López,48,Argentina
Ing.,Daniel,Matas,35,Uruguaya
,Renato,Rodríguez,33,Chilena
,Carlos,Rivadavia,19,Argentina
,Fidel,Montoya,48,Uruguaya
,Andrés,Guevara,49,Uruguaya
,Néstor,Hernández,62,Chilena
,Nicolas,Gutierrez,54,Argentina
Lic.,Cristobal,Licastro,54,Chilena
,Gabriel,Gonzalez,40,Otra
,Leandro,Silva,39,Otra
Lic.,Pablo,Sepúlveda,36,Uruguaya
,Jonás,Orondo,34,Otra
,Juan,Castro,33,Argentina
,Maximo,Pérez,37,Brasileña
,Damian,Antonello,42,Otra
,Cristian,Orondo,19,Chilena
,Maximo,Martín,60,Argentina
Lic.,Renato,Alsina,50,Uruguaya
Dr.,Maximiliano,Riglos,52,Argentina
,Bastian,Pérez,22,Uruguaya
,Néstor,Sánchez,26,Argentina
,Cristian,Rodríguez,39,Uruguaya
,Fernando,Centenera,56,Chilena
,Luciano,García,44,Argentina
,Tomas,Gómez,22,Uruguaya
,Santiago,Perez,56,Brasileña
,Jose,Sanchez,48,Brasileña
Lic.,Francisco,Rojas,49,Argentina
,Juan,Casullo,34,Argentina
,Victor,Flores,51,Otra
,Renato,Alsina,50,Argentina
,Federico,Soto,64,Uruguaya
,Maximiliano,Silva,31,Argentina
,Leandro,Sepúlveda,46,Brasileña
,Sebastian,Mactas,64,Uruguaya
,Leandro,Casullo,50,Uruguaya
Lic.,David,Sacado,35,Otra
,Abel,Martínez,21,Uruguaya
,Néstor,Díaz,50,
,David,Rojas,51,Chilena
Lic.,Ernesto,Pérez,61,Argentina
,Jorge,Fanon,57,Chilena
,Ernesto,Castañeda,24,Brasileña
,Camilo,Gómez,35,Uruguaya
Lic.,Amaro,Fernández,64,Argentina
,Fernando,Mango,29,Argentina
,Rodolfo,Lupo,55,Argentina
Lic.,Pablo,Fernández,61,Brasileña
,Fidel,García,63,Argentina
,Juan,Guevara,36,
,Jose,Aristizabal,44,Brasileña
Dr.,Rodolfo,Gutierrez,50,Brasileña
Dr.,Martin,Martínez,24,Argentina
,Pablo,Aristizabal,32,Argentina
,Rodolfo,Ramirez,52,Chilena
,Benjamin,Castañeda,36,Uruguaya
,Vicente,Castañeda,28,Uruguaya
,Julian,Casullo,26,Chilena
,Matias,Rodríguez,20,Argentina
,Gabriel,Martínez,18,Argentina
,Rodrigo,Guevara,56,Uruguaya
,Benjamin,González,59,Argentina
,Vicente,Pérez,65,Chilena
,Ernesto,Viey,43,
,Santiago,Flores,53,Chilena
,Jorge,Contreras,49,Chilena
Lic.,Javier,Contreras,60,Brasileña
,Sebastian,Rodríguez,49,Argentina
,Julián,Fanon,60,Uruguaya
,Gaspar,Pérez,28,Brasileña
,Emilio,Gutierrez,26,Uruguaya
,Carlos,Aguirre,32,
,Pablo,Gómez,63,
,Andrés,Gómez,43,Chilena
,Jorge,Sacado,26,Uruguaya
,Jorge,Gómez,25,Uruguaya
,Luis,Sanchez,40,Brasileña
,Juan,Antonello,54,Argentina
,Cristian,Castañeda,60,Argentina
,Carlos,González,34,Argentina
,Lucas,Gutierrez,19,Chilena
,Maximo,García,30,Argentina
,Lucas,González,31,Otra
,Cristian,Pérez,22,Chilena
,Pablo,López,57,Argentina
,Victor,López,53,Uruguaya
,Cristobal,Sacado,55,Argentina
,Emilio,García,21,Uruguaya
,Jorge,Gonzalez,56,Uruguaya
,Pablo,Mactas,46,Chilena
,Cristian,Sánchez,52,Brasileña
,Maximiliano,Sanchez,21,Chilena
,Abel,Mactas,59,Uruguaya
Lic.,Fernando,Ramirez,52,Argentina
,Felipe,Ramirez,46,Chilena
,Maximiliano,Lupo,22,Brasileña
,Maximiliano,González,20,Argentina
Dr.,Daniel,Fernández,34,Brasileña
Ing.,Néstor,Mactas,59,Argentina
,Jorge,Castañeda,54,Argentina
Ing.,Victor,Londoño,44,Argentina
,Tomas,Lupo,40,Chilena
,Gabriel,Flores,27,Uruguaya
,Alonso,Pérez,49,Chilena
Ing.,Gabriel,Londoño,37,Brasileña
Dr.,Daniel,Antonello,19,
,Pablo,Matas,35,Argentina
,Rodolfo,López,58,Argentina
Lic.,Amaro,Castro,62,Chilena
,Tomas,Centenera,56,Argentina
,Matias,Alzate,49,Chilena
,Javier,Muñoz,31,
Lic.,Abel,Centenera,40,Argentina
,Sebastian,López,44,Argentina
,Nicolas,Fernández,37,Chilena
,Bruno,Matas,51,Argentina
,Sebastian,González,44,Uruguaya
,Daniel,Mactas,39,Brasileña
,Esteban,Soto,21,Chilena
,Martin,Rodríguez,20,Brasileña
,Jose,Ramirez,62,Uruguaya
,David,Muñoz,47,Brasileña
,Lucas,López,55,Otra
,Matias,González,49,Uruguaya
,Jose,González,42,Chilena
,Daniel,Pérez,20,Brasileña
,Sebastian,Viey,41,Brasileña
,Alexis,Riglos,23,Brasileña
,Gabriel,Rodríguez,18,Chilena
,Victor,Muñoz,51,Otra
,Tomas,Fernández,44,Uruguaya
,Cristobal,Amenabar,32,Brasileña
Prof.,David,Gómez,19,
,Nicolas,Perez,38,Argentina
Ing.,Cristobal,Pérez,34,Chilena
,Javier,López,29,Otra
,Nicolas,Contreras,44,Brasileña
Lic.,Jorge,Pérez,23,Brasileña
,Juan,Guevara,39,Uruguaya
,Benjamin,Perez,21,Argentina
Ing.,Esteban,Licastro,54,Chilena
Lic.,Federico,Alzate,45,Argentina
,Matias,Castro,65,Brasileña
Prof.,Abel,Fernández,47,Brasileña
,Jorge,Martínez,50,Chilena
,Tomas,Casullo,40,Otra
Ing.,Bruno,Riglos,21,Uruguaya
,Lucas,Montoya,50,Brasileña
,Benjamin,Casullo,31,Chilena
,Jose,Sánchez,56,Brasileña
,Victor,Sánchez,47,Chilena
,Maximiliano,González,58,Argentina
,Rodrigo,García,56,Argentina
,Cristobal,Fertuchelli,54,Chilena
,Ernesto,García,65,Argentina
,Maximo,Centenera,65,Uruguaya
,Maximiliano,López,43,Brasileña
,Franco,Montoya,19,Brasileña
,Diego,Rodríguez,24,Chilena
,Pablo,Rodríguez,59,Brasileña
,Carlos,Mactas,47,Uruguaya
,Cristian,Cardona,29,Brasileña
,Fidel,Fanon,40,
,Angel,González,43,Chilena
,Julián,González,56,
,Tomas,Riglos,28,Chilena
Lic.,Pablo,Viey,34,Chilena
,Luis,Castañeda,26,Uruguaya
,Luciano,García,31,Brasileña
,Fernando,Sánchez,65,Chilena
,Juan,Sánchez,56,Argentina
Ing.,Fernando,Castro,42,Argentina
Ing.,Gustavo,Hernández,47,Chilena
,Luis,Lupo,60,Chilena
,Ernesto,Mendoza,56,Argentina
,Rodolfo,Contreras,18,Chilena
,Camilo,Guevara,61,Uruguaya
Ing.,Julian,Sacado,52,Argentina
Dr.,Jorge,Riglos,47,Brasileña
,Pablo,Martínez,62,Uruguaya
Lic.,Diego,Muñoz,34,
,David,Aristizabal,49,Uruguaya
,Camilo,Perez,58,Uruguaya
Lic.,Ernesto,Silva,52,
,Matias,García,31,Uruguaya
,Leandro,Ramirez,36,Argentina
,Rodrigo,Aguirre,27,
,Jose,Aguirre,27,
,Bastian,Pérez,39,Uruguaya
,Amaro,Martínez,55,Chilena
Ing.,Jonás,Gómez,55,Chilena
,Matias,Sánchez,41,Uruguaya
